"sector","country","year","Rem","TCC","TCP_1","Rem_relativa_eu","Rem_tcp_arg","Rem_relativa_eu_tcp"
"Information","Argentina",2006,0.00164814814814815,3.07775,4.13760266056034,-0.747351165487185,0.00122597271393769,-0.812067514883967
"Information","Argentina",2007,0.00157051282051282,3.11916666666667,4.55311234908122,-0.780277547404046,0.00107589948671149,-0.849476380657761
"Information","Argentina",2008,0.00190277777777778,3.18316666666667,5.56801849870742,-0.738742054198728,0.00108779430199493,-0.850642093831141
"Information","Argentina",2009,0.00210144927536232,3.75,7.06523643464366,-0.70809880140388,0.00111538160902412,-0.845068242958149
"Information","Argentina",2010,0.0023972602739726,3.89,7.76258689096076,-0.663994912225801,0.00120131891555538,-0.831620591202186
"Information","Argentina",2011,0.00229166666666667,4.11,9.24962419496044,-0.697077834635066,0.00101828461367454,-0.865398845033271
"Information","Argentina",2012,0.00258064516129032,4.552518519,12.0427547747658,-0.661379478550304,0.000975560418481612,-0.871991398675378
"Information","Argentina",2013,0.00281986531986532,5.49,14.8444506378925,-0.643607173450496,0.00104288538415447,-0.868193396610967
"Information","Argentina",2014,0.0032843137254902,8.1236,21.3297597151226,-0.588148002140061,0.00125085567473487,-0.84314305765747
"Information","Argentina",2015,0.00341760299625468,9.43,25.3426007827942,-0.547207904918381,0.00127169253585694,-0.831515735373199
"Information","Argentina",2016,0.00330645161290323,14.7774461886724,36.5722685591162,-0.564395557285764,0.00133600984325451,-0.823989009559219
"Information","Argentina",2017,0.00354967948717949,16.5567166666667,47.2745247712401,-0.515593543419471,0.00124318621522058,-0.83034878738777
"Information","Argentina",2018,0.00364166666666667,28.1124303451178,63.92614147514,-0.518240655070318,0.0016014747354432,-0.788139472914814
"Information","Argentina",2019,0.00361111111111111,48.2548583333333,99.8267630626399,-0.52433784995987,0.00174556050648713,-0.770071582404084
"Machinery","Argentina",1999,0.00234848484848485,1,1.94204817638903,-0.37080787080787,0.00120928248693167,-0.676016209668894
"Machinery","Argentina",2000,0.00233333333333333,1,1.95421063162881,-0.32624773726403,0.00119400298799343,-0.655230479339678
"Machinery","Argentina",2001,0.00243055555555556,1,2.06059852973482,-0.293778427550357,0.00117953862457058,-0.657273572576737
"Machinery","Argentina",2002,0.00243055555555556,3.14,3.1215238766912,-0.310834957764782,0.00244494187644474,-0.306755828851006
"Machinery","Argentina",2003,0.0025,2.93,3.62678218036872,-0.344867358708189,0.00201969669963894,-0.470732306622876
"Machinery","Argentina",2004,0.00159722222222222,2.93,3.52632076693515,-0.623604465709729,0.00132712291944403,-0.687255077356729
"Machinery","Argentina",2005,0.00159722222222222,2.92841666666667,3.95378151066347,-0.658034589745954,0.00118300218747824,-0.746719133540738
"Machinery","Argentina",2006,0.00177777777777778,3.07775,4.13760266056034,-0.621595750890095,0.00132239753413504,-0.718524524164849
"Machinery","Argentina",2007,0.00178571428571429,3.11916666666667,4.55311234908122,-0.635389484204097,0.00122332594698975,-0.750218997469672
"Machinery","Argentina",2008,0.00172222222222222,3.18316666666667,5.56801849870742,-0.676164638021216,0.000984572944871322,-0.814867366195335
"Machinery","Argentina",2009,0.00185185185185185,3.75,7.06523643464366,-0.66166613469518,0.000982903333622788,-0.820423278593781
"Machinery","Argentina",2010,0.00262820512820513,3.89,7.76258689096076,-0.547573115209506,0.00131705037152281,-0.773279113450646
"Machinery","Argentina",2011,0.00262820512820513,4.11,9.24962419496044,-0.551707935167097,0.00116782291358479,-0.800804838377425
"Machinery","Argentina",2012,0.0037,4.552518519,12.0427547747658,-0.351979752530933,0.00139870974999801,-0.755029124775376
"Machinery","Argentina",2013,0.0065625,5.49,14.8444506378925,0.111707758502936,0.00242704333618337,-0.588851366543557
"Machinery","Argentina",2014,0.00594444444444444,8.1236,21.3297597151226,-0.0462219598583243,0.00226398653964449,-0.636746433603676
"Machinery","Argentina",2015,0.00643229166666667,9.43,25.3426007827942,0.143036876198223,0.00239346036093691,-0.574675155287641
"Machinery","Argentina",2016,0.00533333333333333,14.7774461886724,36.5722685591162,-0.0684047175667296,0.00215499473903816,-0.623578200145662
"Machinery","Argentina",2017,0.00577380952380952,16.5567166666667,47.2745247712401,0.00401588584933243,0.00202213197986862,-0.648368616474118
"Machinery","Argentina",2018,0.00425675675675676,28.1124303451178,63.92614147514,-0.257097460900336,0.00187196935493082,-0.673298037364381
"Machinery","Argentina",2019,0.00376126126126126,48.2548583333333,99.8267630626399,-0.335852726175307,0.00181814098492734,-0.678960514919529
"Mining","Argentina",1999,0.00354166666666667,1,1.94204817638903,-0.34375,0.00182367600851793,-0.662083563127561
"Mining","Argentina",2000,0.00397286821705426,1,1.95421063162881,-0.226336189310487,0.00203297850945726,-0.604104185000429
"Mining","Argentina",2001,0.00220528455284553,1,2.06059852973482,-0.563380281690141,0.00107021553253721,-0.788110244664666
"Mining","Argentina",2002,0.002125,3.14,3.1215238766912,-0.591172800998129,0.00213757775483454,-0.588752975925781
"Mining","Argentina",2003,0.00171361502347418,2.93,3.62678218036872,-0.614514088751921,0.001384393042945,-0.688574150917978
"Mining","Argentina",2004,0.00182098765432099,2.93,3.52632076693515,-0.626276175571949,0.00151304835260286,-0.689474985984925
"Mining","Argentina",2005,0.00255833333333333,2.92841666666667,3.95378151066347,-0.48760550023708,0.00189486089507385,-0.620488742494456
"Mining","Argentina",2006,0.00276402640264026,3.07775,4.13760266056034,-0.469034640765257,0.00205601720576378,-0.60504215400823
"Mining","Argentina",2007,0.00358630952380952,3.11916666666667,4.55311234908122,-0.383681681504629,0.00245684627687107,-0.577783413252534
"Mining","Argentina",2008,0.0047265625,3.18316666666667,5.56801849870742,-0.317524218218899,0.00270211677662518,-0.609837115326181
"Mining","Argentina",2009,0.00474509803921569,3.75,7.06523643464366,-0.370687686470956,0.00251854524780051,-0.665981287736914
"Mining","Argentina",2010,0.00599019607843137,3.89,7.76258689096076,-0.246343612334802,0.00300181667173764,-0.622326501564639
"Mining","Argentina",2011,0.00651960784313725,4.11,9.24962419496044,-0.23186447723966,0.00289693804532009,-0.658684836053655
"Mining","Argentina",2012,0.00706410256410256,4.552518519,12.0427547747658,-0.172477378081114,0.00267044030578276,-0.687171902804901
"Mining","Argentina",2013,0.0068287037037037,5.49,14.8444506378925,-0.250264962256397,0.00252549482953825,-0.722721611084373
"Mining","Argentina",2014,0.00668859649122807,8.1236,21.3297597151226,-0.258783502291348,0.00254740246406138,-0.717702101607974
"Mining","Argentina",2015,0.00835526315789474,9.43,25.3426007827942,-0.0230668630096068,0.00310899943751788,-0.636482476255001
"Mining","Argentina",2016,0.00700231481481482,14.7774461886724,36.5722685591162,-0.0678684230798856,0.0028293659225653,-0.623361504183588
"Mining","Argentina",2017,0.00691111111111111,16.5567166666667,47.2745247712401,-0.0695372175294208,0.00242044333755271,-0.674128746237218
"Mining","Argentina",2018,0.00521186440677966,28.1124303451178,63.92614147514,-0.268852316093571,0.00229199153464895,-0.678467402200287
"Mining","Argentina",2019,0.00498677248677249,48.2548583333333,99.8267630626399,-0.247085987497586,0.00241053593752985,-0.636051917383238
"Primary and fabricated metals","Argentina",1999,0.00217948717948718,1,1.94204817638903,-0.296568155142511,0.00112226215908795,-0.637788674138135
"Primary and fabricated metals","Argentina",2000,0.00205128205128205,1,1.95421063162881,-0.172970471165416,0.00104967295647774,-0.576796116319731
"Primary and fabricated metals","Argentina",2001,0.00236111111111111,1,2.06059852973482,-0.0875486381322979,0.00114583752101141,-0.557191103118409
"Primary and fabricated metals","Argentina",2002,0.00227272727272727,3.14,3.1215238766912,-0.147045757441137,0.00228617941693534,-0.141997169512671
"Primary and fabricated metals","Argentina",2003,0.00266666666666667,2.93,3.62678218036872,-0.11150971599402,0.00215434314628153,-0.282207642292745
"Primary and fabricated metals","Argentina",2004,0.005,2.93,3.52632076693515,0.456079917326902,0.00415447174782481,0.20984857582194
"Primary and fabricated metals","Argentina",2005,0.005,2.92841666666667,3.95378151066347,0.366418813764484,0.00370331119558407,0.0120548181741444
"Primary and fabricated metals","Argentina",2006,0.0045,3.07775,4.13760266056034,0.247819114817192,0.0033473187582793,-0.0718114822295413
"Primary and fabricated metals","Argentina",2007,0.00145833333333333,3.11916666666667,4.55311234908122,-0.653480113636365,0.000999049523374955,-0.76261220984352
"Primary and fabricated metals","Argentina",2008,0.00125,3.18316666666667,5.56801849870742,-0.720173958198105,0.000714609395471122,-0.840026945144697
"Primary and fabricated metals","Argentina",2009,0.00178571428571429,3.75,7.06523643464366,-0.604539869365581,0.000947799643136263,-0.790102496413644
"Primary and fabricated metals","Argentina",2010,0.00178571428571429,3.89,7.76258689096076,-0.604122899159663,0.000894860008525952,-0.801617431933401
"Primary and fabricated metals","Argentina",2011,0.00178571428571429,4.11,9.24962419496044,-0.616835994194484,0.00079346853013601,-0.829743994926984
"Primary and fabricated metals","Argentina",2012,0.00166666666666667,4.552518519,12.0427547747658,-0.629082553750205,0.000630049436936043,-0.859782203104337
"Primary and fabricated metals","Argentina",2013,0.00229166666666667,5.49,14.8444506378925,-0.5140793932548,0.000847538942794195,-0.820289467350077
"Primary and fabricated metals","Argentina",2014,NA,8.1236,21.3297597151226,NA,NA,NA
"Primary and fabricated metals","Argentina",2015,NA,9.43,25.3426007827942,NA,NA,NA
"Primary and fabricated metals","Argentina",2016,NA,14.7774461886724,36.5722685591162,NA,NA,NA
"Primary and fabricated metals","Argentina",2017,NA,16.5567166666667,47.2745247712401,NA,NA,NA
"Primary and fabricated metals","Argentina",2018,NA,28.1124303451178,63.92614147514,NA,NA,NA
"Primary and fabricated metals","Argentina",2019,0.000833333333333333,48.2548583333333,99.8267630626399,-0.819481964087081,0.000402821655343184,-0.912740111145109
"Professional services","Argentina",1999,0.00482558139534884,1,1.94204817638903,-0.089025390644303,0.00248478974621594,-0.530920694743255
"Professional services","Argentina",2000,0.00321705426356589,1,1.95421063162881,-0.370319676561794,0.00164621674424344,-0.677782776714619
"Professional services","Argentina",2001,0.00434027777777778,1,2.06059852973482,-0.1722108638334,0.00210631897244746,-0.598277333395395
"Professional services","Argentina",2002,0.00402777777777778,3.14,3.1215238766912,-0.265741963892558,0.00405161796667986,-0.261395932097992
"Professional services","Argentina",2003,0.00402173913043478,2.93,3.62678218036872,-0.300057023185167,0.00324907729941916,-0.434530991916652
"Professional services","Argentina",2004,0.0025,2.93,3.52632076693515,-0.618254588949717,0.0020772358739124,-0.682809894985966
"Professional services","Argentina",2005,0.00186111111111111,2.92841666666667,3.95378151066347,-0.739117524048515,0.00137845472280074,-0.806774201215435
