,year,sector,vab,emp,productividad,index,TCC,TCP_1,TCP_2,prod_tcc
55,2003,"Alimentos, bebidas y tabaco",15627,100667.0,0.15523458531594267,,2.93,1.2378096178732818,0.8402254851792774,0.1254107118529713
56,2004,"Alimentos, bebidas y tabaco",17872,1076900.0,0.016595784195375614,,2.93,1.2035224460529526,0.8545070696306212,0.013789343314537095
57,2005,"Alimentos, bebidas y tabaco",20731,1109740.0,0.018680952295132194,,,1.3501430843732851,0.9063353378572974,0.013836275955747011
58,2006,"Alimentos, bebidas y tabaco",24198,1163960.0,0.020789374205299152,,,1.344359568048199,0.9263972315392778,0.01546414716673017
59,2007,"Alimentos, bebidas y tabaco",34685,1224780.0,0.028319371642254117,,,1.4597207637984138,1.045406646701571,0.0194005403941524
60,2008,"Alimentos, bebidas y tabaco",42605,1272870.0,0.033471603541602835,,,1.7492073402923984,1.2535363609397792,0.019135297897851095
61,2009,"Alimentos, bebidas y tabaco",48250,1297290.0,0.03719291754349451,,,1.8840630492383101,1.223506415269924,0.019740803025955465
62,2010,"Alimentos, bebidas y tabaco",61661,1304020.0,0.047285317709851074,,,1.9955236223549513,1.4283430244428186,0.02369569429303416
63,2011,"Alimentos, bebidas y tabaco",81319,1314020.0,0.06188566384073302,,,2.250516835756798,1.6176849656438348,0.027498422965550606
64,2012,"Alimentos, bebidas y tabaco",96348,1374590.0,0.07009217293883994,,,2.645295065688402,1.7692344305123848,0.026496920456243855
65,2012,"Alimentos, bebidas y tabaco",96348,1347230.0,0.07151562836338264,,,2.645295065688402,1.7692344305123848,0.02703502882948586
66,2012,"Alimentos, bebidas y tabaco",95977,1374590.0,0.0698222742781484,,,2.645295065688402,1.7692344305123848,0.026394890756724753
67,2012,"Alimentos, bebidas y tabaco",95977,1347230.0,0.07124024850990551,,,2.645295065688402,1.7692344305123848,0.026930927076509785
68,2013,"Alimentos, bebidas y tabaco",117475,1354980.0,0.08669869665972929,,,2.7039072200168492,1.8144801867546825,0.032064227654671165
69,2014,"Alimentos, bebidas y tabaco",169609,1394190.0,0.12165415043860593,,,2.6256536160227677,1.6721521353828568,0.046332901528299324
70,2015,"Alimentos, bebidas y tabaco",207370,1395510.0,0.14859800359725117,,,2.687444409628227,1.8053785023032782,0.05529342414111843
71,2016,"Alimentos, bebidas y tabaco",276573,,,,,2.474870697695416,1.6086191011435709,
72,2002,"Combustibles, quimicos y plasticos",13821,4535.0,3.047629547960309,,3.14,0.9941158842965611,0.7066666934948361,3.065668294915959
73,2003,"Combustibles, quimicos y plasticos",17368,42431.0,0.40932337206287855,,2.93,1.2378096178732818,0.8402254851792774,0.33068362545619046
74,2004,"Combustibles, quimicos y plasticos",20475,413940.0,0.04946369038991158,,2.93,1.2035224460529526,0.8545070696306212,0.04109910085360824
75,2005,"Combustibles, quimicos y plasticos",23481,459670.0,0.05108229817042661,,,1.3501430843732851,0.9063353378572974,0.037834729342140945
76,2006,"Combustibles, quimicos y plasticos",26992,478400.0,0.056421404682274245,,,1.344359568048199,0.9263972315392778,0.04196898361365431
77,2007,"Combustibles, quimicos y plasticos",31146,489450.0,0.06363469200122586,,,1.4597207637984138,1.045406646701571,0.04359374311812814
78,2008,"Combustibles, quimicos y plasticos",42983,516850.0,0.08316339363451679,,,1.7492073402923984,1.2535363609397792,0.0475434739603912
79,2009,"Combustibles, quimicos y plasticos",38714,498520.0,0.07765786728717003,,,1.8840630492383101,1.223506415269924,0.0412182953848416
80,2010,"Combustibles, quimicos y plasticos",49688,511270.0,0.09718544017837932,,,1.9955236223549513,1.4283430244428186,0.04870172374290871
81,2011,"Combustibles, quimicos y plasticos",66263,529810.0,0.12506936448915648,,,2.250516835756798,1.6176849656438348,0.05557361869150313
82,2012,"Combustibles, quimicos y plasticos",84946,597810.0,0.1420953145648283,,,2.645295065688402,1.7692344305123848,0.05371624375969187
83,2012,"Combustibles, quimicos y plasticos",84946,602130.0,0.14107584740836696,,,2.645295065688402,1.7692344305123848,0.05333085493494991
84,2012,"Combustibles, quimicos y plasticos",85188,597810.0,0.1425001254579214,,,2.645295065688402,1.7692344305123848,0.053869274284847196
85,2012,"Combustibles, quimicos y plasticos",85188,602130.0,0.14147775397339446,,,2.645295065688402,1.7692344305123848,0.0534827875379478
86,2013,"Combustibles, quimicos y plasticos",105007,669710.0,0.15679473204819996,,,2.7039072200168492,1.8144801867546825,0.05798820717199864
87,2014,"Combustibles, quimicos y plasticos",156136,689830.0,0.22633982285490628,,,2.6256536160227677,1.6721521353828568,0.0862032301114252
88,2015,"Combustibles, quimicos y plasticos",183376,664270.0,0.27605642284011017,,,2.687444409628227,1.8053785023032782,0.10272079372175702
89,2016,"Combustibles, quimicos y plasticos",228773,,,,,2.474870697695416,1.6086191011435709,
90,2002,"Maquinarias, equipos y vehiculos",1987,21221.0,0.09363366476603364,,3.14,0.9941158842965611,0.7066666934948361,0.09418787713294519
91,2003,"Maquinarias, equipos y vehiculos",1833,18546.0,0.09883532837269492,,2.93,1.2378096178732818,0.8402254851792774,0.07984695460882497
92,2004,"Maquinarias, equipos y vehiculos",3071,234410.0,0.01310097692077983,,2.93,1.2035224460529526,0.8545070696306212,0.010885527697256933
93,2005,"Maquinarias, equipos y vehiculos",4623,305840.0,0.015115746795710176,,,1.3501430843732851,0.9063353378572974,0.011195662867633517
94,2006,"Maquinarias, equipos y vehiculos",6503,371490.0,0.017505181835311853,,,1.344359568048199,0.9263972315392778,0.013021205227651003
95,2007,"Maquinarias, equipos y vehiculos",9054,428510.0,0.021129028494084153,,,1.4597207637984138,1.045406646701571,0.014474705723239308
96,2008,"Maquinarias, equipos y vehiculos",10659,483170.0,0.02206055839559575,,,1.7492073402923984,1.2535363609397792,0.012611745839065651
97,2009,"Maquinarias, equipos y vehiculos",8992,440400.0,0.02041780199818347,,,1.8840630492383101,1.223506415269924,0.01083711185060287
98,2010,"Maquinarias, equipos y vehiculos",15065,499880.0,0.030137232935904618,,,1.9955236223549513,1.4283430244428186,0.015102418532304398
99,2011,"Maquinarias, equipos y vehiculos",21283,598040.0,0.035587920540432076,,,2.250516835756798,1.6176849656438348,0.015813221201015658
100,2012,"Maquinarias, equipos y vehiculos",27890,608410.0,0.04584079814598708,,,2.645295065688402,1.7692344305123848,0.01732918143634674
101,2012,"Maquinarias, equipos y vehiculos",27890,613780.0,0.04543973410668318,,,2.645295065688402,1.7692344305123848,0.01717756733306351
102,2012,"Maquinarias, equipos y vehiculos",28272,608410.0,0.046468664223139,,,2.645295065688402,1.7692344305123848,0.017566533437375225
103,2012,"Maquinarias, equipos y vehiculos",28272,613780.0,0.0460621069438561,,,2.645295065688402,1.7692344305123848,0.01741284272643856
104,2013,"Maquinarias, equipos y vehiculos",39421,630200.0,0.06255315772770549,,,2.7039072200168492,1.8144801867546825,0.02313435803737219
105,2014,"Maquinarias, equipos y vehiculos",39830,586620.0,0.06789744638778085,,,2.6256536160227677,1.6721521353828568,0.025859254995953776
106,2015,"Maquinarias, equipos y vehiculos",66772,595690.0,0.11209185985999429,,,2.687444409628227,1.8053785023032782,0.041709461769109016
107,2016,"Maquinarias, equipos y vehiculos",82405,,,,,2.474870697695416,1.6086191011435709,
108,2002,Resto industria,7053,52179.0,0.13516932099120335,,3.14,0.9941158842965611,0.7066666934948361,0.1359693805585347
109,2003,Resto industria,7575,53668.0,0.141145561600954,,2.93,1.2378096178732818,0.8402254851792774,0.11402848997365239
110,2004,Resto industria,11145,574410.0,0.019402517365644748,,2.93,1.2035224460529526,0.8545070696306212,0.01612144204645027
111,2005,Resto industria,12289,594780.0,0.0206614210296244,,,1.3501430843732851,0.9063353378572974,0.015303134363136853
112,2006,Resto industria,14618,608960.0,0.024004860746190227,,,1.344359568048199,0.9263972315392778,0.017855982370134464
