sector,year,capital_expenditures,compensation_employees,employment,exports_by_parent_to_affiliates,exports_by_parent_to_other,imports_by_parent_to_affiliates,imports_by_parent_to_other,liabilities,net_income,owners_equity,rd_expenditures,total_assets,total_sales,value_added,CI,TGasset,TGequity,PT,Rem,TP
  Furniture and related products,2017,671.0,6245.0,83600.0,775.0,690.0,688.0,641.0,15621.0,1195.0,6605.0,628.0,22226.0,23996.0,8736.0,15260.0,0.053765859803833346,0.1809235427706283,0.1044976076555024,0.006225079744816587,0.19135308246597277
  Furniture and related products,2018,785.0,7080.0,94400.0,881.0,849.0,815.0,620.0,17444.0,1860.0,8182.0,710.0,25626.0,28611.0,9776.0,18835.0,0.07258253336455163,0.22732828159374235,0.10355932203389831,0.0062499999999999995,0.2627118644067797
  Furniture and related products,2019,487.0,5044.0,66900.0,869.0,766.0,482.0,594.0,15780.0,1774.0,5256.0,208.0,21036.0,21940.0,7513.0,14427.0,0.08433162198136528,0.3375190258751903,0.11230194319880418,0.006283009466865969,0.35170499603489297
  General merchandise stores,2009,8138.0,57455.0,2177700.0,2491.0,,,,115971.0,17592.0,100299.0,0.0,216270.0,471922.0,113033.0,358889.0,0.08134276598696075,0.1753955672539108,0.051904761904761905,0.002198611685111203,0.30618745104864675
  General merchandise stores,2010,8494.0,57804.0,2185000.0,,,,,139372.0,21308.0,104530.0,0.0,243903.0,485604.0,122004.0,363600.0,0.08736259906602215,0.20384578589878505,0.055837070938215105,0.0022045766590389018,0.3686250086499204
  General merchandise stores,2011,9842.0,58751.0,2182600.0,,,,,148105.0,22126.0,104544.0,0.0,252649.0,500639.0,125762.0,374877.0,0.08757604423528294,0.21164294459749006,0.05762026940346376,0.002243158007269617,0.3766063556364998
  General merchandise stores,2012,12148.0,58643.0,2040100.0,,,,,136600.0,21686.0,109640.0,0.0,246239.0,515973.0,120154.0,395819.0,0.08806890866190976,0.19779277635899306,0.05889613254252243,0.0023954299625835334,0.3697969067066828
  General merchandise stores,2013,12182.0,60244.0,2043500.0,,,,,138782.0,18859.0,106848.0,0.0,245630.0,519845.0,120648.0,399197.0,0.07677808085331596,0.17650306978137167,0.05903988255444091,0.0024567327297936544,0.3130436226014209
  General merchandise stores,2014,13678.0,68461.0,2236600.0,,265.0,903.0,25409.0,156146.0,17105.0,120487.0,0.0,276633.0,550413.0,132644.0,417769.0,0.06183282544020417,0.1419655232514711,0.059306089600286147,0.0025507839279859308,0.24985027972130117
  General merchandise stores,2015,12807.0,76719.0,2456000.0,4233.0,271.0,774.0,30194.0,165298.0,21826.0,117856.0,0.0,283154.0,578034.0,147021.0,431013.0,0.07708172937694682,0.18519209883247353,0.05986197068403909,0.0026031148208469058,0.2844927592903974
  General merchandise stores,2016,12886.0,76633.0,2476800.0,,,351.0,,158401.0,20349.0,115528.0,0.0,273929.0,586423.0,145362.0,441061.0,0.07428567256478869,0.17613911778962676,0.05868943798449612,0.002578360518949182,0.26553834509936974
  General merchandise stores,2017,13820.0,79751.0,2491300.0,,,326.0,,178085.0,18737.0,117216.0,0.0,295301.0,618174.0,143511.0,474663.0,0.06345051320517031,0.1598501911001911,0.05760486492995625,0.0026676500889763043,0.2349437624606588
  General merchandise stores,2018,14716.0,81173.0,2483300.0,,,376.0,,182882.0,12329.0,116375.0,0.0,299257.0,645528.0,149904.0,495624.0,0.041198702118914514,0.10594199785177229,0.06036483711190754,0.0027239627377548693,0.15188547916179024
  General merchandise stores,2019,14533.0,81390.0,2502300.0,,,445.0,,188770.0,23561.0,122477.0,0.0,311247.0,666865.0,136623.0,530242.0,0.07569872159410372,0.1923708124790777,0.05459896894856732,0.0027105063341725613,0.28948273743703157
  Health care and social assistance,2009,1578.0,23440.0,445300.0,0.0,0.0,0.0,0.0,53378.0,2868.0,1348.0,,54726.0,55282.0,31826.0,23456.0,0.052406534371231224,2.1275964391691393,0.0714709184819223,0.004386555879931133,0.12235494880546074
  Health care and social assistance,2010,1894.0,24693.0,441200.0,0.0,0.0,,0.0,33461.0,3854.0,23219.0,,56680.0,56260.0,35082.0,21178.0,0.06799576570218772,0.16598475386536887,0.07951495920217588,0.0046639845874886674,0.15607662090470983
  Health care and social assistance,2011,2343.0,24845.0,399100.0,0.0,0.0,,,56622.0,4648.0,4042.0,,60664.0,54432.0,35196.0,19236.0,0.07661875247263616,1.1499257793171698,0.08818842395389627,0.005187714023218909,0.1870798953511773
  Health care and social assistance,2012,2526.0,29338.0,436400.0,0.0,0.0,,,62204.0,3896.0,3678.0,,65883.0,64026.0,40825.0,23201.0,0.05913513349422461,1.0592713431212615,0.09354949587534372,0.005602276199205621,0.13279705501397504
  Health care and social assistance,2013,2713.0,26683.0,385800.0,0.0,0.0,,,67168.0,4419.0,14574.0,,81743.0,60625.0,39168.0,21457.0,0.05405967483454241,0.30321119802387814,0.10152410575427682,0.005763564886815275,0.16561106322377545
