;year;sector;vab;emp;IPC;TCC;index_TCP_1;index_TCP_2;TCP_1;TCP_2;ipi_empalme_04;vab_ipc;vab_ipi;vab_tcp_1;vab_tcc;vab_ipi_index;emp_index;productividad_ipc_level;productividad_ipi_level;productividad_tcp_1_level;productividad_tcc_level;productividad_ipi_index_1
151;2009;Total;230437.0;698965.0;2.0822573595387337;3.75;1.8840630492383101;1.223506415269924;7.065236434643663;4.588149057262215;1.7479247409999998;110666.91585666765;131834.6234221534;32615.610550564987;61449.86666666667;1.6415411952753793;1.2764595557552216;0.1583296958455254;0.18861405567110429;0.04666272352773742;0.0879155131754332;1.2860111296704233
152;2009;Total Manufactura;112350.0;281977.0;2.0822573595387337;3.75;1.8840630492383101;1.223506415269924;7.065236434643663;4.588149057262215;1.7479247409999998;53955.86644721382;64276.222748425535;15901.80329268293;29960.0;1.632069330936933;1.0581822548625939;0.19134846617707763;0.22794845944323663;0.05639397288673519;0.1062498005156449;1.542332923687951
153;2010;Alimentos, bebidas y tabaco;61661.0;130402.0;2.563041947849803;3.89;1.9955236223549513;1.4283430244428186;7.762586890960761;5.556254365082564;2.133751782;24057.741252236967;28897.925485130305;7943.357139332238;15851.156812339332;2.4524267818860723;1.2371402007475856;0.18448905118201384;0.22160645914273022;0.06091438121602612;0.12155608665771485;1.9823353734719047
154;2010;Combustibles, quimicos y plasticos;49688.0;51127.0;2.563041947849803;3.89;1.9955236223549513;1.4283430244428186;7.762586890960761;5.556254365082564;2.133751782;19386.338971816065;23286.682368193095;6400.958945510781;12773.264781491001;1.4901915079090644;1.0624233734388961;0.3791800608644369;0.4554674118996439;0.1251972332722589;0.2498340364482759;1.4026343406636006
155;2010;Comunicaciones;30468.0;53511.0;2.563041947849803;3.89;1.9955236223549513;1.4283430244428186;7.762586890960761;5.556254365082564;2.133751782;11887.437123516582;14279.074190832942;3924.980219606796;7832.390745501285;1.309165117222059;0.9013137948458818;0.2221494108410716;0.266843717942721;0.07334903514430297;0.14636973230740008;1.4525075780582244
156;2010;Electricidad, gas y agua;14707.0;43186.0;2.563041947849803;3.89;1.9955236223549513;1.4283430244428186;7.762586890960761;5.556254365082564;2.133751782;5738.103511079111;6892.55429055337;1894.6003705447401;3780.719794344473;0.9596722033787727;1.3376076317908692;0.1328695297336894;0.15960159057456977;0.043870707417791414;0.08754503298162536;0.7174541925227401
157;2010;Maquinarias, equipos y vehiculos;15065.0;49988.0;2.563041947849803;3.89;1.9955236223549513;1.4283430244428186;7.762586890960761;5.556254365082564;2.133751782;5877.781287441818;7060.333880953731;1940.7190169481546;3872.7506426735217;1.5323271282834077;1.1994721055788842;0.1175838458718456;0.14124057535716034;0.038823698026489446;0.07747360651903501;1.277501261727035
158;2010;Minas y canteras;57199.0;29301.0;2.563041947849803;3.89;1.9955236223549513;1.4283430244428186;7.762586890960761;5.556254365082564;2.133751782;22316.84114572748;26806.773160084464;7368.54875873996;14704.113110539845;2.8359119847590697;2.4585500922973655;0.7616409387299915;0.9148757093643378;0.2514777229016061;0.5018297365461877;1.1534896090358209
159;2010;Resto industria;174376.0;784440.0;2.563041947849803;3.89;1.9955236223549513;1.4283430244428186;7.762586890960761;5.556254365082564;2.133751782;68034.78193023261;81722.72026718804;22463.64548950225;44826.735218509;1.5647284852160281;1.5143833990034614;0.08673038336932412;0.10417969540970379;0.0286365375165752;0.05714488707677961;1.0332446104769084
160;2010;Total;304227.0;730924.0;2.563041947849803;3.89;1.9955236223549513;1.4283430244428186;7.762586890960761;5.556254365082564;2.133751782;118697.62812708675;142578.43980092337;39191.44536137313;78207.45501285346;1.7753180190142457;1.334823523825699;0.16239393989947895;0.19506602574402176;0.05361904296667387;0.1069980668480628;1.330002046956783
161;2010;Total Manufactura;148090.0;290594.0;2.563041947849803;3.89;1.9955236223549513;1.4283430244428186;7.762586890960761;5.556254365082564;2.133751782;57778.99972500888;69403.57414075261;19077.40320078674;38069.4087403599;1.7622604435837752;1.0905194897794523;0.19883067002418797;0.23883347261386198;0.0656496803126931;0.13100548786402988;1.6159825295191894
162;2011;Alimentos, bebidas y tabaco;81319.0;131402.0;3.163671681030504;4.11;2.250516835756798;1.6176849656438348;9.249624194960441;6.648685208796161;2.599721232;25703.994661516816;31279.892243461898;8791.60042462112;19785.644768856448;2.6545727482012182;1.2466273267176442;0.1956134203552215;0.23804730706885663;0.0669061386023129;0.15057339133998301;2.12940362473096
163;2011;Combustibles, quimicos y plasticos;66263.0;52981.0;3.163671681030504;4.11;2.250516835756798;1.6176849656438348;9.249624194960441;6.648685208796161;2.599721232;20944.967329358315;25488.502068747963;7163.858617748242;16122.384428223842;1.6310932030425624;1.1009496498555784;0.39532978481641184;0.48108759873818846;0.13521561725426554;0.30430502308797197;1.4815329686117142
164;2011;Comunicaciones;36557.0;54506.0;3.163671681030504;4.11;2.250516835756798;1.6176849656438348;9.249624194960441;6.648685208796161;2.599721232;11555.244565735808;14061.892309844397;3952.268679187819;8894.64720194647;1.289252975938739;0.9180731008927068;0.21199949667441764;0.2579879703123399;0.0725107085309474;0.16318657032155123;1.404303180961416
165;2011;Electricidad, gas y agua;17852.0;42415.0;3.163671681030504;4.11;2.250516835756798;1.6176849656438348;9.249624194960441;6.648685208796161;2.599721232;5642.810569453611;6866.890103546302;1930.0243581492177;4343.552311435523;0.9560988971914346;1.31372731214768;0.13303808957806462;0.161897680149624;0.045503344527860846;0.1024060429431928;0.7277757631668669
166;2011;Maquinarias, equipos y vehiculos;21283.0;59804.0;3.163671681030504;4.11;2.250516835756798;1.6176849656438348;9.249624194960441;6.648685208796161;2.599721232;6727.30995684972;8186.646990464707;2300.958347215427;5178.345498783455;1.7767745101984076;1.43500899820036;0.11248929765316233;0.13689129473722003;0.0384749907567291;0.08658861445360602;1.2381626264550638
167;2011;Minas y canteras;65112.0;31514.0;3.163671681030504;4.11;2.250516835756798;1.6176849656438348;9.249624194960441;6.648685208796161;2.599721232;20581.149551773666;25045.76229117784;7039.421129722824;15842.335766423357;2.6496131043007725;2.644235610001678;0.6530795694540098;0.7947503424248855;0.2233744091426929;0.5027078684528576;1.0020336668482772
168;2011;Resto industria;227456.0;835896.0;3.163671681030504;4.11;2.250516835756798;1.6176849656438348;9.249624194960441;6.648685208796161;2.599721232;71896.20887775267;87492.45772979094;24590.836903830856;55342.09245742092;1.6752004877440403;1.6137206487346354;0.08601094978053808;0.10466907094876748;0.02941853640145527;0.0662069114547993;1.0380981919377514
169;2011;Total;387151.0;772752.0;3.163671681030504;4.11;2.250516835756798;1.6176849656438348;9.249624194960441;6.648685208796161;2.599721232;122373.94996496386;148920.19776372702;41855.86266422965;94197.32360097324;1.854282532858782;1.4112103962701408;0.15836122063089303;0.19271408907867857;0.054164677236978556;0.12189851802515327;1.3139660377784137
170;2011;Total Manufactura;193349.0;305472.0;3.163671681030504;4.11;2.250516835756798;1.6176849656438348;9.249624194960441;6.648685208796161;2.599721232;61115.38095413882;74372.97415586904;20903.443850761432;47043.55231143552;1.8884409347674724;1.1463525385311082;0.20006868372269412;0.24346903858903285;0.06842998327428187;0.15400282942932744;1.6473474531554209
171;2012;Alimentos, bebidas y tabaco;95977.0;134723.0;3.9120057032833038;4.552518519;2.645295065688402;1.7692344305123848;12.042754774765772;8.054472509360052;3.1120078849999997;24533.962187081564;30840.860160609784;7969.688148189227;21082.1767334803;2.6173142246214627;1.278134072064209;0.18210670922620165;0.22892052701179297;0.05915610659047992;0.1564853568691337;2.047761875555398
172;2012;Combustibles, quimicos y plasticos;85188.0;60213.0;3.9120057032833038;4.552518519;2.645295065688402;1.7692344305123848;12.042754774765772;8.054472509360052;3.1120078849999997;21776.041872460115;27373.96663119316;7073.796784312323;18712.279729223876;1.7517502908575722;1.2512312199987532;0.36165017309318775;0.45461888016197766;0.11747956063162977;0.3107681020580917;1.4000212453612833
173;2012;Comunicaciones;45730.0;63643.0;3.9120057032833038;4.552518519;2.645295065688402;1.7692344305123848;12.042754774765772;8.054472509360052;3.1120078849999997;11689.655759351095;14694.692844584488;3797.303927156437;10044.989341426113;1.3472707700316533;1.071972376621189;0.18367543578007156;0.23089252305178085;0.059665696575529704;0.1578333727421101;1.2568148204324006
174;2012;Electricidad, gas y agua;20122.0;43845.0;3.9120057032833038;4.552518519;2.645295065688402;1.7692344305123848;12.042754774765772;8.054472509360052;3.1120078849999997;5143.653032793849;6465.92192037457;1670.8801579322508;4419.97103713484;0.900270824809533;1.358018955584464;0.11731447218140835;0.1474722755245654;0.03810879593869884;0.10080900985596625;0.6629294982278614
